hk_geb;uk_geb;typ_18599;nr_18599;typ_sia2024;nr_sia2024;gain_per_person_18599;gain_per_person_sia2024;appliance_gains_tief_18599;appliance_gains_mittel_18599;appliance_gains_hoch_18599;appliance_gains_ziel_sia2024;appliance_gains_standard_sia2024;appliance_gains_bestand_sia2024;usage_start_18599;usage_end_18599;usage_start_sia2024;usage_end_sia2024
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Internatsschule;Klassenzimmer (Schule), Gruppenraum (Kindergarten);8;Schulzimmer;4.1;60;70;2;4;6;2;4;6;8;15;7;18
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Förder-, Sonderschule;Klassenzimmer (Schule), Gruppenraum (Kindergarten);8;Schulzimmer;4.1;60;70;2;4;6;2;4;6;8;15;7;18
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Berufsbildende Schule (gewerblich, wirtschaftlich);Klassenzimmer (Schule), Gruppenraum (Kindergarten);8;Schulzimmer;4.1;60;70;2;4;6;2;4;6;8;15;7;18
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Berufsbildende Schule (mit höherer technischer Ausstattung, z.B. Werkstätten);Klassenzimmer (Schule), Gruppenraum (Kindergarten);8;Schulzimmer;4.1;60;70;2;4;6;2;4;6;8;15;7;18
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Berufsakademie, Berufskolleg;Klassenzimmer (Schule), Gruppenraum (Kindergarten);8;Schulzimmer;4.1;60;70;2;4;6;2;4;6;8;15;7;18
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Bildungszentrum;Klassenzimmer (Schule), Gruppenraum (Kindergarten);8;Schulzimmer;4.1;60;70;2;4;6;2;4;6;8;15;7;18
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Ausbildungsstätte;Klassenzimmer (Schule), Gruppenraum (Kindergarten);8;Schulzimmer;4.1;60;70;2;4;6;2;4;6;8;15;7;18
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Volkshochschule;Klassenzimmer (Schule), Gruppenraum (Kindergarten);8;Schulzimmer;4.1;60;70;2;4;6;2;4;6;8;15;7;18
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;KiTa;Klassenzimmer (Schule), Gruppenraum (Kindergarten);8;Schulzimmer;4.1;60;70;2;4;6;2;4;6;8;15;7;18
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;KiTa mit Küche;Klassenzimmer (Schule), Gruppenraum (Kindergarten);8;Schulzimmer;4.1;60;70;2;4;6;2;4;6;8;15;7;18
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Studentenhaus;Wohnen (MFH);43;Wohnen MFH;1.1;80;70;4.8;7.2;10.8;4;8;10;0;24;0;24
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Altentagesstätte;Bettenzimmer (Zweibettzimmer im Krankenhaus, Pflegeheim);10;Bettenzimmer;8.1;70;70;2;4;6;2;4;6;0;24;0;24
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Jugendzentrum;Besprechung/Sitzungszimmer/Seminar;4;Sitzungszimmer;3.3;70;70;1;2;3;1;2;3;7;18;9;17
Gebäude für Kultur und Freizeit;Bibliothek/Archiv (einfach, z.B. Stadtbücherei);Bibliothek - Freihandbereich;29;Bibliothek;4.3;70;70;0;0;0;1;2;3;8;20;7;18
Gebäude für Kultur und Freizeit;Bibliothek/Archiv (höher technisiert, z.B. Unibibliothek);Bibliothek - Lesesaal;28;Bibliothek;4.3;70;70;0;0;0;1;2;3;8;20;7;18
Gebäude für Kultur und Freizeit;Ausstellungsgebäude (Museen, Galerien);Ausstellungsräume, Museum;27;Ausstellungshalle;7.3;70;70;0;0;0;3;7;15;10;18;7;23
