People;Appliances
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.16000000000000003;0.16000000000000003
0.48;0.48
0.8;0.8
0.8;0.8
0.16000000000000003;0.16000000000000003
0.16000000000000003;0.16000000000000003
0.8;0.8
0.8;0.8
0.48;0.48
0.48;0.48
0.48;0.48
0.48;0.48
0.8;0.8
0.8;0.8
0.48;0.48
0.16000000000000003;0.16000000000000003
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.16000000000000003;0.16000000000000003
0.48;0.48
0.8;0.8
0.8;0.8
0.16000000000000003;0.16000000000000003
0.16000000000000003;0.16000000000000003
0.8;0.8
0.8;0.8
0.48;0.48
0.48;0.48
0.48;0.48
0.48;0.48
0.8;0.8
0.8;0.8
0.48;0.48
0.16000000000000003;0.16000000000000003
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.16000000000000003;0.16000000000000003
0.48;0.48
0.8;0.8
0.8;0.8
0.16000000000000003;0.16000000000000003
0.16000000000000003;0.16000000000000003
0.8;0.8
0.8;0.8
0.48;0.48
0.48;0.48
0.48;0.48
0.48;0.48
0.8;0.8
0.8;0.8
0.48;0.48
0.16000000000000003;0.16000000000000003
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.16000000000000003;0.16000000000000003
0.48;0.48
0.8;0.8
0.8;0.8
0.16000000000000003;0.16000000000000003
0.16000000000000003;0.16000000000000003
0.8;0.8
0.8;0.8
0.48;0.48
0.48;0.48
0.48;0.48
0.48;0.48
0.8;0.8
0.8;0.8
0.48;0.48
0.16000000000000003;0.16000000000000003
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.16000000000000003;0.16000000000000003
0.48;0.48
0.8;0.8
0.8;0.8
0.16000000000000003;0.16000000000000003
0.16000000000000003;0.16000000000000003
0.8;0.8
0.8;0.8
0.48;0.48
0.48;0.48
0.48;0.48
0.48;0.48
0.8;0.8
0.8;0.8
0.48;0.48
0.16000000000000003;0.16000000000000003
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.16000000000000003;0.16000000000000003
0.48;0.48
0.8;0.8
0.8;0.8
0.16000000000000003;0.16000000000000003
0.16000000000000003;0.16000000000000003
0.8;0.8
0.8;0.8
0.48;0.48
0.48;0.48
0.48;0.48
0.48;0.48
0.8;0.8
0.8;0.8
0.48;0.48
0.16000000000000003;0.16000000000000003
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.16000000000000003;0.16000000000000003
0.48;0.48
0.8;0.8
0.8;0.8
0.16000000000000003;0.16000000000000003
0.16000000000000003;0.16000000000000003
0.8;0.8
0.8;0.8
0.48;0.48
0.48;0.48
0.48;0.48
0.48;0.48
0.8;0.8
0.8;0.8
0.48;0.48
0.16000000000000003;0.16000000000000003
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.16000000000000003;0.16000000000000003
0.48;0.48
0.8;0.8
0.8;0.8
0.16000000000000003;0.16000000000000003
0.16000000000000003;0.16000000000000003
0.8;0.8
0.8;0.8
0.48;0.48
0.48;0.48
0.48;0.48
0.48;0.48
0.8;0.8
0.8;0.8
0.48;0.48
0.16000000000000003;0.16000000000000003
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.0;0.08000000000000002
0.16000000000000003;0.16000000000000003
0.48;0.48
0.8;0.8
0.8;0.8
0.16000000000000003;0.16000000000000003
0.16000000000000003;0.16000000000000003
0.8;0.8
0.8;0.8
0.48;0.48
0.48;0.48
0.48;0.48
