hk_geb;uk_geb;schedule_name
Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;Sterne-Hotel;Hotelzimmer
Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;Ausschankwirtschaft;Restaurant
Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;Speisegaststätte (einfach);Restaurant
Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;Restaurant (gehoben);Restaurant
Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;Mensa/Kantine;Selbstbedienungsrestaurant
Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;Gemeinschaftsunterkunft (z.B. Flüchtlingsheim, Kaserne, Kloster);Wohnen
Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;Sonstige Gebäudefunktion;Verkehrsflaeche_Nebenraum
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Gebäude für gewerbliche Produktion und Verarbeitung (z.B. Brauerei, Molkerei, Schlachthof);ProduktionGrob
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Gebäude für industrielle Produktion und Verarbeitung (z.B. Chemie, Metall, Textilien, Lebensmittel, Holz);ProduktionGrob
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Werkstattgebäude allgemein (z.B. von Handwerksbetrieben wie Klempner, Schlosser, Schreiner);ProduktionGrob
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Werkstattgebäude zur Wartung, Instandsetzung, Reparatur (von z.B. Kfz);ProduktionGrob
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Logistikimmobilie mit Toren bzw. Rampen;Lagerhalle
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Sonstiges Gebäude für Lagerung;Lagerhalle
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Feuerwehr, Rettungswache;Bueros_SchalterhalleEmpfang
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Straßenmeisterei, Bauhof u.ä.;Lagerhalle
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Fuhrpark;Parkhaus
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;zentrales Wirtschaftsgebäude (z.B. Zentralküche oder -wäscherei in Krankenhaus);KuecheTeekueche
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Rechenzentrum;Serverraum
Handelsgebäude;Handelsgebäude des Lebensmitteleinzel- und -großhandels;Lebensmittelverkauf
Handelsgebäude;Handelsgebäude des Non-Food-Einzel- und -Großhandels;Fachgeschaeft
Handelsgebäude;Einkaufszentrum, Shopping-Mall;Bueros_SchalterhalleEmpfang
Handelsgebäude;Markthalle;Lebensmittelverkauf
Handelsgebäude;Messehalle;Ausstellungshalle
Handelsgebäude;von Dienstleistern (z.B. Frisör, Kosmetik) genutztes Ladengebäude;Fachgeschaeft
Technikgebäude (Ver- und Entsorgung);Kraftwerk (Gesamtanlage für Energieversorgung);ProduktionGrob
Technikgebäude (Ver- und Entsorgung);Gebäude für Lenkung, Steuerung, Überwachung und Nachrichtenübermittlung (z.B. Stellwerk, Leuchtturm);Bueros_SchalterhalleEmpfang
Technikgebäude (Ver- und Entsorgung);Gebäude für Energieversorgung (z.B. Fernheizwerk, Tankstelle);Bueros_SchalterhalleEmpfang
Technikgebäude (Ver- und Entsorgung);Gebäude für Wasserversorgung;Bueros_SchalterhalleEmpfang
Technikgebäude (Ver- und Entsorgung);Gebäude für Abwasserbehandlung;Bueros_SchalterhalleEmpfang
Technikgebäude (Ver- und Entsorgung);Gebäude für Abfallbehandlung;Bueros_SchalterhalleEmpfang
Verkehrsgebäude;Park-/Garagengebäude, Fahrradparkhaus;Parkhaus
Verkehrsgebäude;Halle für sonstige Verkehrsmittel (z.B. für Flugzeuge, Schienenfahrzeuge);Verkehrsflaeche_Nebenraum
Verkehrsgebäude;Gebäude zur Pflege von Fahrzeugen (z.B. Waschstraße);Lagerhalle
Verkehrsgebäude;Empfangsgebäude (Bahnhof, Busbahnhof, Flughafen, Schiffsterminal);Bueros_SchalterhalleEmpfang
