scr_gebaeude_id;plz;hk_geb;uk_geb;max_occupancy;wall_area_og;wall_area_ug;window_area_north;window_area_east;window_area_south;window_area_west;roof_area;net_room_area;base_area;energy_ref_area;building_height;lighting_load;lighting_control;lighting_utilisation_factor;lighting_maintenance_factor;glass_solar_transmittance;glass_solar_shading_transmittance;glass_light_transmittance;u_windows;u_walls;u_roof;u_base;temp_adj_base;temp_adj_walls_ug;ach_inf;ach_win;ach_vent;heat_recovery_efficiency;thermal_capacitance;t_start;t_set_heating;t_set_cooling;night_flushing_flow;max_cooling_energy_per_floor_area;max_heating_energy_per_floor_area;heating_supply_system;cooling_supply_system;heating_emission_system;cooling_emission_system;dhw_system
AB123456_0_11;76137;Büro-, Verwaltungs- oder Amtsgebäude;Bürogebäude;90;1967.5716389017532;18.801578526823334;0.0;473.7944564032676;0.0;474.2088767200596;804.8197194178575;4316.034374999999;804.8197194178575;3452.8275;16.340961273157266;17.303247238938052;500;0.45;0.9;0.6700000000000002;0.1;0.39627;1.5800000000000003;0.27999999999999997;0.19811320754716985;0.7222222222222222;0.35;0.6;0.16057196900950452;1.0465173613104675;0.0;0.0;110000;20.459981167608284;21;24;0;-87699.99999999999;270000.0;DistrictHeating;AirCooledPistonScroll;AirConditioning;AirConditioning;el. Kleinspeicher
AB123456_0_12;76131;Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Berufsbildende Schule (gewerblich, wirtschaftlich);892;2247.703771874804;803.2947416004648;1498.8521047470028;1213.9594193930466;500.5423427468848;113.80786794548897;4842.5419854914035;15388.578947368422;4842.5419854914035;14619.15;15.777301139060276;9.56933596153846;300;0.45;0.9;0.6699999999999999;0.20218118396259271;0.3962699999999999;2.0;0.21212121212121213;0.16733067729083664;0.2857142857142857;0.35;0.6;0.06213874933085879;1.9993566597063324;0.1378668072351668;0.8000000000000002;110000;19.110204081632652;21;24;0;-3900.0;300000.0;DistrictHeating;AirCooledPistonScroll;SurfaceHeatingCooling;AirConditioning;el. Durchlauferhitzer
AB123456_0_13;76133;Büro-, Verwaltungs- oder Amtsgebäude;Öffentliches Verwaltungs- oder Ämtergebäude, Rathaus;38;789.6545899842819;37.27169664725811;83.69405183105343;47.4382792555533;83.78622703588792;48.299638538932655;309.5432950191571;897.6755555555554;309.5432950191571;807.9079999999999;12.097770428845742;15.039459310344828;500;0.45;0.9;0.7799999999999999;0.16;0.4391099999999999;2.673485307917008;1.7;0.3111111111111111;1.2;0.2;0.4;0.20835588040993505;0.7835624297100339;0.0;0.0;165000;20.229357798165136;21;24;0;0.0;200000.0;DistrictHeating;NoCooling;AirConditioning;NoCooling;el. Kleinspeicher
AB123456_0_14;1589;Büro-, Verwaltungs- oder Amtsgebäude;Öffentliches Verwaltungs- oder Ämtergebäude, Rathaus;80;1223.3109915350005;357.86827005957105;151.43615950269736;0.0;151.16338935519457;0.0;1571.110861507357;4662.533333333333;1571.110861507357;4196.28;11.932556157505287;23.498753204347828;500;0.45;0.9;0.67;0.1;0.39626999999999996;2.0;0.29411764705882354;0.2876712328767123;1.5;0.2;0.4;0.11620093311189764;0.6732382876079621;0.23967808138277308;0.7;110000;20.86847826086957;21;24;0;-105000.0;250000.0;DistrictHeating;AirCooledPistonScroll;AirConditioning;SurfaceHeatingCooling; -
AB123456_0_15;29633;Handelsgebäude;Handelsgebäude des Non-Food-Einzel- und -Großhandels;226;290.75042916875634;124.79807903426263;88.19683328009899;0.0;35.102650587507895;32.41521470871121;644.9765954199702;2113.0960842105264;644.9765954199702;2007.44128;13.797874315183359;9.143631334615383;300;0.45;0.9;0.67;0.1;0.39626999999999996;1.611673177932442;1.4;0.5987234042553191;1.0;0.2;0.4;0.09105525180138888;0.9460610222795459;0.0;0.0;260000;20.0;21;24;0;-69000.0;250800.0;DistrictHeating;AirCooledPistonScroll;AirConditioning;AirConditioning;zentraler Wärmeerzeuger
AB123456_0_16;76133;Büro-, Verwaltungs- oder Amtsgebäude;Öffentliches Verwaltungs- oder Ämtergebäude, Rathaus;512;3698.047357625144;0.0;315.0217207399136;350.645836028106;318.8169018906212;248.19799388307405;2525.8130081300824;9610.213333333335;2525.8130081300824;7207.660000000002;10.407157318741449;12.42725470967742;500;0.45;0.9;0.67;0.10000000000000002;0.39627;1.616722698444363;1.2484374999999999;0.2751322751322751;1.2;0.25;0.0;0.177217461881595;0.787991593198573;0.29546180807409617;0.8333333333333334;110000;19.64117647058823;21;24;0;-77000.0;300000.0;DistrictHeating;AirCooledPistonScroll;AirConditioning;AirConditioning;el. Kleinspeicher
AB123456_0_17;76133;Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Berufsbildende Schule (mit höherer technischer Ausstattung, z.B. Werkstätten);461;2382.860533717291;0.0;178.9574673146403;228.13667937217235;180.308832278489;206.88386560712874;6725.901678898162;23518.58823529413;5359.284206293356;19990.80000000001;16.686130167958666;9.933053383177567;300;0.45;0.9;0.6699999999999999;0.13999999999999999;0.3962699999999999;2.19;0.35294117647058826;0.2876712328767123;0.8;0.35;0.0;0.07964624358175186;2.228183366112379;0.2616697031141915;0.8000000000000002;110000;19.438888888888886;21;24;0;-23000.0;1500000.0;DistrictHeating;AirCooledPistonScroll;AirConditioning;AirConditioning;el. Kleinspeicher
AB123456_0_18;76133;Gebäude für Kultur und Freizeit;Bibliothek/Archiv (einfach, z.B. Stadtbücherei);256;939.0323171220898;267.65642363718734;225.73096927354658;88.44300698678764;225.8189937144436;74.0511110579122;621.1933025301222;2307.5;411.3862930663061;2076.75;18.944696855551914;8.915640042253521;200;0.45;0.9;0.7800000000000001;0.16000000000000003;0.43911;2.69;1.7;0.29545454545454547;1.2;0.2;0.4;0.15482462877099684;0.16263348378733844;0.29511437083820163;0.8;165000;18.698591549295777;21;24;0;-36000.0;120000.0;DistrictHeating;AirCooledPistonScroll;AirConditioning;AirConditioning; -
AB123456_0_19;76646;Büro-, Verwaltungs- oder Amtsgebäude;Bürogebäude;160;465.1674701570462;72.3664548544297;0.0;18.026261309880113;30.93525421030191;64.80265315820951;311.37931034482756;956.1176470588234;311.37931034482756;812.6999999999999;9.176411960132892;6.5760743999999995;500;0.45;0.9;0.67;0.10000000000000002;0.39627;1.5002528217140434;0.3111111111111111;0.2234042553191489;1.0;0.2;0.4;0.196262202015048;1.111438460524324;0.0;0.0;110000;19.914285714285715;21;24;0;-14200.0;170000.0;OilBoilerLowTempFrom95;AirCooledPistonScroll;AirConditioning;AirConditioning;zentraler Wärmeerzeuger
AB123456_0_20;69117;Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Jugendzentrum;70;299.36937381958376;0.0;23.048149212194016;33.96677841338491;62.40313758008836;35.84118169427249;293.9402298850575;255.728;293.9402298850575;255.728;5.6279069767441845;6.9318864;500;0.45;0.9;0.67;0.0;0.39627;1.4100000000000004;0.2692307692307692;0.11214953271028036;0.21052631578947367;0.35;0.0;0.2940902912984657;2.3711989648998824;0.0;0.0;260000;20.6;21;24;0;0.0;170000.0;OilBoilerCondensingFrom95;NoCooling;AirConditioning;NoCooling;el. Kleinspeicher
